SimulationName,SimulationID,CheckpointID,CheckpointName,Clock.Today, FolderName,Wheat.AboveGround.N,Wheat.AboveGround.Wt,Wheat.Grain.Number,Wheat.Grain.Protein,Wheat.Grain.Size,Wheat.Grain.Total.N,Wheat.Grain.Total.Wt,Wheat.Phenology.CurrentStageName,Wheat.Phenology.Zadok.Stage,Wheat.Total.Wt,   Yield, Zone
    Simulation,           1,           1,       Current, 1900-11-14,Simulations,             17.433,            1271.424,         18675.079,             14.036,           0.026,             12.097,             492.104,                     HarvestRipe,                      0.000,      1480.830,4921.045,Field
    Simulation,           1,           1,       Current, 1901-11-15,Simulations,             12.591,            1328.037,         17408.139,             10.783,           0.027,              8.736,             462.592,                     HarvestRipe,                      0.000,      1556.786,4625.923,Field
    Simulation,           1,           1,       Current, 1902-10-21,Simulations,              2.939,             201.519,          3635.918,             14.169,           0.021,              1.902,              76.628,                     HarvestRipe,                      0.000,       233.194, 766.283,Field
    Simulation,           1,           1,       Current, 1903-11-04,Simulations,             31.459,            1654.139,         20987.064,             15.261,           0.034,             19.256,             720.446,                     HarvestRipe,                      0.000,      1922.297,7204.457,Field
    Simulation,           1,           1,       Current, 1904-11-17,Simulations,             24.762,            1427.505,         20188.137,             15.065,           0.032,             16.794,             636.557,                     HarvestRipe,                      0.000,      1665.748,6365.571,Field
    Simulation,           1,           1,       Current, 1905-11-07,Simulations,             21.931,             951.642,         17938.670,             15.007,           0.020,              9.601,             365.297,                     HarvestRipe,                      0.000,      1089.622,3652.974,Field
    Simulation,           1,           1,       Current, 1907-11-14,Simulations,             27.964,             971.984,         16326.171,             15.117,           0.023,              9.797,             370.058,                     HarvestRipe,                      0.000,      1125.751,3700.578,Field
    Simulation,           1,           1,       Current, 1909-12-27,Simulations,             29.940,            1137.614,         20207.202,             15.199,           0.022,             12.009,             451.166,                     HarvestRipe,                      0.000,      1315.423,4511.655,Field
    Simulation,           1,           1,       Current, 1910-11-21,Simulations,             31.776,            1202.988,         18866.798,             15.226,           0.025,             12.507,             469.024,                     HarvestRipe,                      0.000,      1390.917,4690.236,Field
    Simulation,           1,           1,       Current, 1912-11-20,Simulations,             27.142,            1061.983,         17023.591,             15.141,           0.023,             10.533,             397.218,                     HarvestRipe,                      0.000,      1237.989,3972.183,Field
    Simulation,           1,           1,       Current, 1913-11-10,Simulations,             30.353,             849.665,         14870.347,             15.200,           0.021,              8.442,             317.130,                     HarvestRipe,                      0.000,       975.581,3171.303,Field
    Simulation,           1,           1,       Current, 1914-11-23,Simulations,              5.765,             136.600,          2327.842,             14.965,           0.020,              1.215,              46.366,                     HarvestRipe,                      0.000,       159.989, 463.659,Field
    Simulation,           1,           1,       Current, 1916-11-28,Simulations,             26.246,             910.147,         14789.276,             15.157,           0.022,              8.754,             329.768,                     HarvestRipe,                      0.000,      1057.481,3297.680,Field
    Simulation,           1,           1,       Current, 1919-11-15,Simulations,             31.248,             996.236,         18301.762,             15.195,           0.021,             10.432,             392.013,                     HarvestRipe,                      0.000,      1151.893,3920.127,Field
    Simulation,           1,           1,       Current, 1920-11-02,Simulations,             29.371,            1362.739,         19089.802,             15.141,           0.028,             14.424,             543.974,                     HarvestRipe,                      0.000,      1579.586,5439.735,Field
    Simulation,           1,           1,       Current, 1921-11-01,Simulations,             26.815,            1172.564,         17561.007,             15.151,           0.024,             11.294,             425.664,                     HarvestRipe,                      0.000,      1353.477,4256.637,Field
    Simulation,           1,           1,       Current, 1922-12-04,Simulations,             22.156,             651.214,         11782.605,             15.096,           0.023,              7.156,             270.665,                     HarvestRipe,                      0.000,       757.832,2706.647,Field
    Simulation,           1,           1,       Current, 1923-11-23,Simulations,              2.619,              64.586,          1112.306,             15.141,           0.023,              0.666,              25.125,                     HarvestRipe,                      0.000,        79.037, 251.251,Field
    Simulation,           1,           1,       Current, 1925-11-10,Simulations,             32.811,            1445.707,         24041.931,             15.197,           0.024,             15.613,             586.633,                     HarvestRipe,                      0.000,      1676.648,5866.331,Field
    Simulation,           1,           1,       Current, 1926-11-05,Simulations,             21.841,             614.798,         11537.737,             15.171,           0.022,              6.698,             252.089,                     HarvestRipe,                      0.000,       707.166,2520.892,Field
    Simulation,           1,           1,       Current, 1927-11-21,Simulations,             26.515,             813.621,         14646.308,             15.138,           0.023,              8.836,             333.290,                     HarvestRipe,                      0.000,       942.628,3332.902,Field
    Simulation,           1,           1,       Current, 1928-11-25,Simulations,             21.535,             633.907,         10506.210,             15.164,           0.023,              6.345,             238.923,                     HarvestRipe,                      0.000,       736.913,2389.227,Field
    Simulation,           1,           1,       Current, 1930-11-04,Simulations,             33.732,            1577.022,         21803.414,             15.233,           0.030,             17.341,             650.039,                     HarvestRipe,                      0.000,      1832.373,6500.388,Field
    Simulation,           1,           1,       Current, 1931-11-27,Simulations,             18.435,             536.649,          9848.263,             15.126,           0.023,              5.935,             224.053,                     HarvestRipe,                      0.000,       621.073,2240.532,Field
    Simulation,           1,           1,       Current, 1932-11-24,Simulations,             20.960,             715.710,         13285.015,             15.143,           0.023,              8.028,             302.717,                     HarvestRipe,                      0.000,       835.407,3027.175,Field
    Simulation,           1,           1,       Current, 1934-11-02,Simulations,             33.506,            1513.471,         21488.459,             15.206,           0.029,             16.704,             627.233,                     HarvestRipe,                      0.000,      1763.527,6272.330,Field
    Simulation,           1,           1,       Current, 1935-11-09,Simulations,             30.917,            1359.420,         21077.004,             15.134,           0.027,             15.188,             573.052,                     HarvestRipe,                      0.000,      1582.556,5730.517,Field
    Simulation,           1,           1,       Current, 1936-11-24,Simulations,             19.348,             558.657,         10703.605,             15.056,           0.021,              5.828,             221.015,                     HarvestRipe,                      0.000,       644.940,2210.146,Field
    Simulation,           1,           1,       Current, 1938-11-14,Simulations,             32.039,            1280.132,         21029.034,             15.169,           0.023,             13.037,             490.722,                     HarvestRipe,                      0.000,      1488.881,4907.221,Field
    Simulation,           1,           1,       Current, 1939-12-02,Simulations,             27.679,             977.824,         16990.051,             15.127,           0.024,             10.603,             400.243,                     HarvestRipe,                      0.000,      1138.000,4002.431,Field
    Simulation,           1,           1,       Current, 1940-11-05,Simulations,             31.332,            1071.104,         20063.344,             15.167,           0.022,             11.828,             445.293,                     HarvestRipe,                      0.000,      1236.500,4452.926,Field
    Simulation,           1,           1,       Current, 1942-11-09,Simulations,             27.328,            1163.150,         17591.309,             15.170,           0.024,             11.435,             430.410,                     HarvestRipe,                      0.000,      1347.241,4304.103,Field
    Simulation,           1,           1,       Current, 1945-10-27,Simulations,             31.297,            1479.482,         20095.703,             15.204,           0.031,             16.372,             614.850,                     HarvestRipe,                      0.000,      1714.373,6148.505,Field
    Simulation,           1,           1,       Current, 1947-11-18,Simulations,             28.834,            1242.296,         19307.428,             15.251,           0.029,             14.817,             554.751,                     HarvestRipe,                      0.000,      1450.290,5547.512,Field
    Simulation,           1,           1,       Current, 1948-11-03,Simulations,             32.804,            1391.551,         23389.030,             15.211,           0.025,             15.717,             589.980,                     HarvestRipe,                      0.000,      1610.385,5899.799,Field
    Simulation,           1,           1,       Current, 1949-11-21,Simulations,             20.354,             668.747,         13665.914,             15.121,           0.021,              7.725,             291.697,                     HarvestRipe,                      0.000,       776.069,2916.972,Field
    Simulation,           1,           1,       Current, 1950-11-12,Simulations,             29.428,            1300.752,         17509.526,             15.312,           0.032,             14.821,             552.702,                     HarvestRipe,                      0.000,      1506.128,5527.017,Field
    Simulation,           1,           1,       Current, 1951-11-28,Simulations,             23.424,             808.449,         13117.988,             15.213,           0.026,              8.928,             335.097,                     HarvestRipe,                      0.000,       938.896,3350.974,Field
    Simulation,           1,           1,       Current, 1952-10-29,Simulations,             28.938,            1049.600,         17899.484,             15.225,           0.021,             10.192,             382.247,                     HarvestRipe,                      0.000,      1205.101,3822.472,Field
    Simulation,           1,           1,       Current, 1953-11-01,Simulations,             21.002,             588.936,         11355.921,             15.085,           0.022,              6.665,             252.278,                     HarvestRipe,                      0.000,       671.491,2522.780,Field
    Simulation,           1,           1,       Current, 1955-10-28,Simulations,             29.772,            1351.648,         21092.295,             15.114,           0.025,             13.910,             525.516,                     HarvestRipe,                      0.000,      1562.243,5255.158,Field
    Simulation,           1,           1,       Current, 1956-11-07,Simulations,             32.709,            1470.647,         23376.346,             15.152,           0.024,             15.104,             569.169,                     HarvestRipe,                      0.000,      1699.573,5691.689,Field
    Simulation,           1,           1,       Current, 1957-11-30,Simulations,             19.139,             536.447,         10227.338,             15.089,           0.021,              5.737,             217.092,                     HarvestRipe,                      0.000,       619.916,2170.919,Field
    Simulation,           1,           1,       Current, 1958-11-22,Simulations,             28.415,             927.877,         15931.919,             15.137,           0.023,              9.605,             362.334,                     HarvestRipe,                      0.000,      1074.942,3623.335,Field
    Simulation,           1,           1,       Current, 1959-11-14,Simulations,             24.258,             685.098,         12768.051,             15.125,           0.022,              7.387,             278.865,                     HarvestRipe,                      0.000,       784.626,2788.646,Field
    Simulation,           1,           1,       Current, 1961-11-18,Simulations,             29.076,            1168.029,         19350.674,             15.291,           0.026,             13.574,             506.903,                     HarvestRipe,                      0.000,      1365.771,5069.028,Field
    Simulation,           1,           1,       Current, 1963-11-10,Simulations,             29.634,            1172.761,         18142.958,             15.138,           0.025,             12.172,             459.148,                     HarvestRipe,                      0.000,      1361.934,4591.480,Field
    Simulation,           1,           1,       Current, 1964-10-31,Simulations,             31.951,            1358.388,         20215.815,             15.202,           0.025,             13.336,             500.893,                     HarvestRipe,                      0.000,      1564.817,5008.933,Field
    Simulation,           1,           1,       Current, 1965-10-28,Simulations,             33.712,            1552.742,         22096.518,             15.183,           0.029,             17.159,             645.298,                     HarvestRipe,                      0.000,      1800.408,6452.975,Field
    Simulation,           1,           1,       Current, 1966-11-01,Simulations,             35.665,            1620.237,         21701.170,             15.276,           0.032,             18.360,             686.261,                     HarvestRipe,                      0.000,      1879.405,6862.606,Field
    Simulation,           1,           1,       Current, 1967-11-02,Simulations,             31.214,            1388.444,         21298.004,             15.174,           0.025,             13.894,             522.853,                     HarvestRipe,                      0.000,      1608.673,5228.535,Field
    Simulation,           1,           1,       Current, 1968-11-02,Simulations,             23.353,             882.316,         16486.419,             15.121,           0.021,              9.269,             350.019,                     HarvestRipe,                      0.000,      1015.225,3500.194,Field
    Simulation,           1,           1,       Current, 1969-11-13,Simulations,             14.736,             390.926,          7442.469,             15.124,           0.022,              4.352,             164.306,                     HarvestRipe,                      0.000,       449.715,1643.059,Field
    Simulation,           1,           1,       Current, 1970-11-18,Simulations,             23.717,             748.174,         13279.696,             15.188,           0.024,              8.599,             323.286,                     HarvestRipe,                      0.000,       868.528,3232.858,Field
    Simulation,           1,           1,       Current, 1973-10-15,Simulations,             29.666,            1551.925,         13800.018,             15.059,           0.041,             14.951,             566.889,                     HarvestRipe,                      0.000,      1803.772,5668.887,Field
    Simulation,           1,           1,       Current, 1974-11-19,Simulations,             32.682,            1485.376,         20830.617,             15.234,           0.032,             17.666,             662.151,                     HarvestRipe,                      0.000,      1728.809,6621.507,Field
    Simulation,           1,           1,       Current, 1975-11-30,Simulations,             25.553,            1086.092,         15334.247,             15.172,           0.028,             11.308,             425.583,                     HarvestRipe,                      0.000,      1265.803,4255.832,Field
    Simulation,           1,           1,       Current, 1976-11-06,Simulations,             29.036,            1116.813,         18726.981,             15.184,           0.024,             11.752,             441.965,                     HarvestRipe,                      0.000,      1288.492,4419.654,Field
    Simulation,           1,           1,       Current, 1977-11-09,Simulations,             22.741,             845.893,         17118.296,             15.185,           0.021,              9.762,             367.098,                     HarvestRipe,                      0.000,       975.339,3670.976,Field
    Simulation,           1,           1,       Current, 1978-12-04,Simulations,             32.347,            1439.012,         19897.045,             15.354,           0.032,             17.256,             641.750,                     HarvestRipe,                      0.000,      1683.384,6417.505,Field
    Simulation,           1,           1,       Current, 1979-10-28,Simulations,             24.705,            1020.496,         18149.401,             15.119,           0.022,             10.725,             405.028,                     HarvestRipe,                      0.000,      1181.172,4050.281,Field
    Simulation,           1,           1,       Current, 1980-11-11,Simulations,             19.742,             614.058,         12114.374,             15.052,           0.021,              6.744,             255.833,                     HarvestRipe,                      0.000,       711.607,2558.328,Field
    Simulation,           1,           1,       Current, 1981-11-11,Simulations,             30.293,            1181.204,         20421.298,             15.231,           0.023,             12.382,             464.172,                     HarvestRipe,                      0.000,      1372.527,4641.719,Field
    Simulation,           1,           1,       Current, 1982-11-22,Simulations,             24.546,             784.705,         14669.549,             15.200,           0.021,              8.357,             313.936,                     HarvestRipe,                      0.000,       910.926,3139.358,Field
    Simulation,           1,           1,       Current, 1983-10-20,Simulations,             30.869,            1452.733,         16687.076,             15.174,           0.034,             14.969,             563.316,                     HarvestRipe,                      0.000,      1683.642,5633.156,Field
    Simulation,           1,           1,       Current, 1985-11-22,Simulations,             30.765,            1374.523,         19829.449,             15.268,           0.029,             15.158,             566.875,                     HarvestRipe,                      0.000,      1606.056,5668.750,Field
    Simulation,           1,           1,       Current, 1986-10-24,Simulations,             24.793,             818.669,         14738.445,             15.138,           0.022,              8.459,             319.048,                     HarvestRipe,                      0.000,       938.132,3190.478,Field
    Simulation,           1,           1,       Current, 1987-11-03,Simulations,             19.973,             586.621,         11896.388,             15.188,           0.020,              6.389,             240.199,                     HarvestRipe,                      0.000,       671.578,2401.987,Field
    Simulation,           1,           1,       Current, 1988-11-29,Simulations,             23.697,            1046.265,         15039.963,             15.218,           0.028,             11.316,             424.593,                     HarvestRipe,                      0.000,      1224.514,4245.926,Field
    Simulation,           1,           1,       Current, 1989-10-24,Simulations,             26.352,            1119.451,         16690.413,             15.138,           0.023,             10.281,             387.798,                     HarvestRipe,                      0.000,      1284.077,3877.978,Field
    Simulation,           1,           1,       Current, 1990-11-12,Simulations,             31.196,            1249.043,         20905.187,             15.201,           0.023,             12.980,             487.594,                     HarvestRipe,                      0.000,      1449.990,4875.944,Field
    Simulation,           1,           1,       Current, 1992-11-16,Simulations,             26.019,             976.311,         17641.339,             15.191,           0.022,             10.388,             390.460,                     HarvestRipe,                      0.000,      1131.996,3904.603,Field
    Simulation,           1,           1,       Current, 1993-10-31,Simulations,             13.007,             372.840,          7236.130,             15.132,           0.021,              3.996,             150.773,                     HarvestRipe,                      0.000,       428.768,1507.730,Field
    Simulation,           1,           1,       Current, 1995-11-20,Simulations,             26.816,             935.625,         15296.792,             15.125,           0.024,              9.748,             368.003,                     HarvestRipe,                      0.000,      1089.260,3680.035,Field
    Simulation,           1,           1,       Current, 1996-10-26,Simulations,             26.495,            1180.909,         18671.599,             15.122,           0.024,             12.008,             453.434,                     HarvestRipe,                      0.000,      1360.084,4534.336,Field
